officerid,count,name,dept
PSantosNewark,1,P Santos,"Newark, Essex County"
EdgarMoralesPassaic,1,Edgar Morales,"Passaic, Passaic County"
PVVisagioNJSP,1,P V Visagio,"NJSP, State Police"
EdgarPadillaNewark,1,Edgar Padilla,"Newark, Essex County"
QACrenshawNJSP,1,Q A Crenshaw,"NJSP, State Police"
QDeMarcoWestOrange,1,Q DeMarco,"West Orange, Essex County"
BLANKMainPalmyra,1,BLANK Main,"Palmyra, Burlington County"
QuamereStaggersPaterson,1,Quamere Staggers,"Paterson, Passaic County"
EdgarTaylorPaterson,1,Edgar Taylor,"Paterson, Passaic County"
JohnJosueNewark,1,John Josue,"Newark, Essex County"
EdgarTorresPaterson,1,Edgar Torres,"Paterson, Passaic County"
QuentonLMulfordBrooklawn,1,Quenton L Mulford,"Brooklawn, Camden County"
QuentonLMulfordCarney_sPoint,1,Quenton L Mulford,"Carney_s Point, Salem County"
QuinnDarraghTeaneck,1,Quinn Darragh,"Teaneck, Bergen County"
BLANKMaloneyLongBranch,1,BLANK Maloney,"Long Branch, Monmouth County"
RABarclayNJSP,1,R A Barclay,"NJSP, State Police"
EdgGonzalezNewark,1,Edg Gonzalez,"Newark, Essex County"
RachedaConyersNewark,1,Racheda Conyers,"Newark, Essex County"
RackeliFontanaPleasantville,1,Rackeli Fontana,"Pleasantville, Atlantic County"
JohnJRobbPaterson,1,John J Robb,"Paterson, Passaic County"
RadoslawGawryloElmwoodPark,1,Radoslaw Gawrylo,"Elmwood Park, Bergen County"
EdGHornakLakewood,1,Ed G Hornak,"Lakewood, Ocean County"
EdGonnelliElk,1,Ed Gonnelli,"Elk, Gloucester County"
JohnJSwackGloucester,1,John J Swack,"Gloucester, Camden County"
EDiklichAndoverTownship,1,E Diklich,"Andover Township, Sussex County"
BLANKManderanoSecaucus,1,BLANK Manderano,"Secaucus, Hudson County"
JohnKaslanderNorthHaledon,1,John Kaslander,"North Haledon, Passaic County"
EdlynLedesmaPassaic,1,Edlyn Ledesma,"Passaic, Passaic County"
RafaelEILLEGIBLEPaterson,1,Rafael E ILLEGIBLE,"Paterson, Passaic County"
RafaelFerminPaterson,1,Rafael Fermin,"Paterson, Passaic County"
EdmondSullivanEdgewater,1,Edmond Sullivan,"Edgewater, Bergen County"
JohnKellyCamden,1,John Kelly,"Camden, Camden County"
ChristianDBlakerCamden,1,Christian D Blaker,"Camden, Camden County"
RafaelIMoreraPassaic,1,Rafael I Morera,"Passaic, Passaic County"
BLANKManganaroPennsGrove,1,BLANK Manganaro,"Penns Grove, Salem County"
ChristianEldridgeOakland,1,Christian Eldridge,"Oakland, Bergen County"
JohnKennedyCedarGrove,1,John Kennedy,"Cedar Grove, Essex County"
ChristianFedericiNorwood,1,Christian Federici,"Norwood, Bergen County"
RafaelPericoUnionCity,1,Rafael Perico,"Union City, Hudson County"
JohnKILLEGIBLEWoodbridge,1,John K ILLEGIBLE,"Woodbridge, Middlesex County"
BLANKMartePerthAmboy,1,BLANK Marte,"Perth Amboy, Middlesex County"
EDO'DonnellLindenwold,1,ED O'Donnell,"Lindenwold, Camden County"
RafaelSanchezRockawayTwp,1,Rafael Sanchez,"Rockaway Twp, Morris County"
JohnKLeggBerkeley,1,John K Legg,"Berkeley, Ocean County"
BLANKMartinezUnionCity,1,BLANK Martinez,"Union City, Hudson County"
EdProskeyBloomfield,1,Ed Proskey,"Bloomfield, Essex County"
RaheemACarterOceanTownship,1,Raheem A Carter,"Ocean Township, Monmouth County"
RahkeemLadsonPassaic,1,Rahkeem Ladson,"Passaic, Passaic County"
JohnKnoffBrigantineBeach,1,John Knoff,"Brigantine Beach, Atlantic County"
BLANKMartinHowell,1,BLANK Martin,"Howell, Monmouth County"
RahySAmirPaterson,1,Rahy S Amir,"Paterson, Passaic County"
RajhanGordonNewark,1,Rajhan Gordon,"Newark, Essex County"
RAJoaquinNJSP,1,R A Joaquin,"NJSP, State Police"
JohnKorobellisCherryHill,1,John Korobellis,"Cherry Hill, Camden County"
RALabriolaNJSP,1,R A Labriola,"NJSP, State Police"
RALewisNJSP,1,R A Lewis,"NJSP, State Police"
BLANKMascidloUniontownship,1,BLANK Mascidlo,"Union township, Union County"
JohnKuckerEwing,1,John Kucker,"Ewing, Mercer County"
BLANKMatthewsBeverly,1,BLANK Matthews,"Beverly, Burlington County"
ChristianJGilbertMansfield,1,Christian J Gilbert,"Mansfield, Warren County"
AlexLopezElizabeth,1,Alex Lopez,"Elizabeth, Union County"
RalphCavalloHackensack,1,Ralph Cavallo,"Hackensack, Bergen County"
BLANKMaunelloBloomfield,1,BLANK Maunello,"Bloomfield, Essex County"
RalphColatrellaChathamboro,1,Ralph Colatrella,"Chatham boro, Morris County"
JohnLaricciaNewark,1,John Lariccia,"Newark, Essex County"
ChristianLEriksenSummit,1,Christian L Eriksen,"Summit, Union County"
JohnLauriaVineland,1,John Lauria,"Vineland, Cumberland County"
RalphEHattLakewood,1,Ralph E Hatt,"Lakewood, Ocean County"
EduardoRiveraJerseyCity,1,Eduardo Rivera,"Jersey City, Hudson County"
EduardoSantanaFreeholdBoro,1,Eduardo Santana,"Freehold Boro, Monmouth County"
RalphHGonzalezPaterson,1,Ralph H Gonzalez,"Paterson, Passaic County"
RalphLathamShrewsbury,1,Ralph Latham,"Shrewsbury, Monmouth County"
JohnLebronNewark,1,John Lebron,"Newark, Essex County"
EDumasSouthRiver,1,E Dumas,"South River, Middlesex County"
JohnLLinckStafford,1,John L Linck,"Stafford, Ocean County"
RalphMarottiBelleville,1,Ralph Marotti,"Belleville, Essex County"
JohnLMcCartneyDeptford,1,John L McCartney,"Deptford, Gloucester County"
RalphNaumovitzLivingston,1,Ralph Naumovitz,"Livingston, Essex County"
RalphPereiraBrigantineBeach,1,Ralph Pereira,"Brigantine Beach, Atlantic County"
EdVerbejusPointPleasantBeach,1,Ed Verbejus,"Point Pleasant Beach, Ocean County"
Edward FILLEGIBLENewark,1,Edward F ILLEGIBLE,"Newark, Essex County"
JohnLongoLeonia,1,John Longo,"Leonia, Bergen County"
JohnLopezOrange,1,John Lopez,"Orange, Essex County"
RalphSpinaBrigantineBeach,1,Ralph Spina,"Brigantine Beach, Atlantic County"
RalphStoccoTomsRiver,1,Ralph Stocco,"Toms River, Ocean County"
RalphWHestonLinden,1,Ralph W Heston,"Linden, Union County"
BLANKMaySalemCity,1,BLANK May,"Salem City, Salem County"
EdwardAGilesEastOrange,1,Edward A Giles,"East Orange, Essex County"
BLANKMazzeoBloomfield,1,BLANK Mazzeo,"Bloomfield, Essex County"
ChristianLRuizCamden,1,Christian L Ruiz,"Camden, Camden County"
JohnLStefaniChesterfield,1,John L Stefani,"Chesterfield, Burlington County"
RamonECruzHillsdale,1,Ramon E Cruz,"Hillsdale, Bergen County"
JohnLTimchakMontclair,1,John L Timchak,"Montclair, Essex County"
BLANKMcAusianoPaterson,1,BLANK McAusiano,"Paterson, Passaic County"
JohnlukeRagoneHaworth,1,Johnluke Ragone,"Haworth, Bergen County"
RamonMPegueroJerseyCity,1,Ramon M Peguero,"Jersey City, Hudson County"
JohnLVadellAtlanticCity,1,John L Vadell,"Atlantic City, Atlantic County"
BLANKMcCarronHillsborough,1,BLANK McCarron,"Hillsborough, Somerset County"
RamosBVillegasCamden,1,Ramos B Villegas,"Camden, Camden County"
RamyAmirPaterson,1,Ramy Amir,"Paterson, Passaic County"
RamySAmirPaterson,1,Ramy S Amir,"Paterson, Passaic County"
RanBurrowsLindenwold,1,Ran Burrows,"Lindenwold, Camden County"
ChristianRodriguezCapeMay,1,Christian Rodriguez,"Cape May, Cape May County"
RandallMTraskyBelmar,1,Randall M Trasky,"Belmar, Monmouth County"
ChristianRodriguezEastBrunswick,1,Christian Rodriguez,"East Brunswick, Middlesex County"
EdwardAWhitePiscataway,1,Edward A White,"Piscataway, Middlesex County"
ChristianSDorseyMontclair,1,Christian S Dorsey,"Montclair, Essex County"
JohnMagnerKeansburg,1,John Magner,"Keansburg, Monmouth County"
ChristianStollAbsecon,1,Christian Stoll,"Absecon, Atlantic County"
EdwardBennettJackson,1,Edward Bennett,"Jackson, Ocean County"
JohnManiaLongBranch,1,John Mania,"Long Branch, Monmouth County"
ChristianTrejoUniontownship,1,Christian Trejo,"Union township, Union County"
EdwardBobadillaNewBrunswick,1,Edward Bobadilla,"New Brunswick, Middlesex County"
EdwardBrownBrigantineBeach,1,Edward Brown,"Brigantine Beach, Atlantic County"
JohnMartinezCamden,1,John Martinez,"Camden, Camden County"
JohnMartinezSeaIsleCity,1,John Martinez,"Sea Isle City, Cape May County"
JohnMatthewsCamden,1,John Matthews,"Camden, Camden County"
JohnMattiaNeptuneTownship,1,John Mattia,"Neptune Township, Monmouth County"
JohnMazureLyndhurst,1,John Mazure,"Lyndhurst, Bergen County"
ChristianTsentasParamus,1,Christian Tsentas,"Paramus, Bergen County"
RandyTCabreraTomsRiver,1,Randy T Cabrera,"Toms River, Ocean County"
RandyVelezEmerson,1,Randy Velez,"Emerson, Bergen County"
RANiviaNJSP,1,R A Nivia,"NJSP, State Police"
RApgarNJSP,1,R Apgar,"NJSP, State Police"
JohnMBelitzFranklin,1,John M Belitz,"Franklin, Somerset County"
RaphaelCSofkosBridgetonCity,1,Raphael C Sofkos,"Bridgeton City, Cumberland County"
RAppelParsippany,1,R Appel,"Parsippany, Morris County"
RArandaNJSP,1,R Aranda,"NJSP, State Police"
JohnMBortakDenville,1,John M Bortak,"Denville, Morris County"
RasberryILLEGIBLENewark,1,Rasberry ILLEGIBLE,"Newark, Essex County"
AnthonyMAmalfaLavallette,1,Anthony M Amalfa,"Lavallette, Ocean County"
JohnMcAloonBelleville,1,John McAloon,"Belleville, Essex County"
EdwardCHayesBarnegat,1,Edward C Hayes,"Barnegat, Ocean County"
RashaunJettBelleville,1,Rashaun Jett,"Belleville, Essex County"
JohnMcBrideJackson,1,John McBride,"Jackson, Ocean County"
RashawnVerdejoIrvington,1,Rashawn Verdejo,"Irvington, Essex County"
RasheedaAllenNewark,1,Rasheeda Allen,"Newark, Essex County"
JohnMcCannVineland,1,John McCann,"Vineland, Cumberland County"
RAShirenPaterson,1,R A Shiren,"Paterson, Passaic County"
JohnMcClaveHillside,1,John McClave,"Hillside, Union County"
JohnMcElwainEdison,1,John McElwain,"Edison, Middlesex County"
RASomersNJSP,1,R A Somers,"NJSP, State Police"
RaughanSommervilleLivingston,1,Raughan Sommerville,"Livingston, Essex County"
JohnMcGimpseyBayonne,1,John McGimpsey,"Bayonne, Hudson County"
RaulAponteLongBranch,1,Raul Aponte,"Long Branch, Monmouth County"
BLANKMcCurdySeasideHeights,1,BLANK McCurdy,"Seaside Heights, Ocean County"
RaulCouceNewton,1,Raul Couce,"Newton, Sussex County"
JohnMcNishFairfield,1,John McNish,"Fairfield, Essex County"
JohnMColineriCranford,1,John M Colineri,"Cranford, Union County"
JohnMCraterManville,1,John M Crater,"Manville, Somerset County"
RayABurganLongport,1,Ray A Burgan,"Longport, Atlantic County"
EdwardConlonCedarGrove,1,Edward Conlon,"Cedar Grove, Essex County"
RayCalderonHoboken,1,Ray Calderon,"Hoboken, Hudson County"
JohnMDoblemanMonroe,1,John M Dobleman,"Monroe, Gloucester County"
RayFLapointBrick,1,Ray F Lapoint,"Brick, Ocean County"
BLANKMcFaddenSouthOrange,1,BLANK McFadden,"South Orange, Essex County"
ChristinaMRoseboroCollingswood,1,Christina M Roseboro,"Collingswood, Camden County"
JohnMGannaioBrick,1,John M Gannaio,"Brick, Ocean County"
RaymanChaparroLongBranch,1,Rayman Chaparro,"Long Branch, Monmouth County"
JohnMGannonPalmyra,1,John M Gannon,"Palmyra, Burlington County"
BLANKMcGovernSouthBoundbrook,1,BLANK McGovern,"South Boundbrook, Somerset County"
BLANKMcKelveySomersPoint,1,BLANK McKelvey,"Somers Point, Atlantic County"
ChristinaRiveraCamden,1,Christina Rivera,"Camden, Camden County"
RaymondBoulardRoseland,1,Raymond Boulard,"Roseland, Essex County"
JohnMilburnSeaIsleCity,1,John Milburn,"Sea Isle City, Cape May County"
RaymondCaroniaWayne,1,Raymond Caronia,"Wayne, Passaic County"
JohnMinorTomsRiver,1,John Minor,"Toms River, Ocean County"
EdwardDiklichAndoverTownship,1,Edward Diklich,"Andover Township, Sussex County"
RaymondCetinichUnionCity,1,Raymond Cetinich,"Union City, Hudson County"
JohnMKoetznerFairHaven,1,John M Koetzner,"Fair Haven, Monmouth County"
EdwardDimattiaCherryHill,1,Edward Dimattia,"Cherry Hill, Camden County"
RaymondColemanCresskill,1,Raymond Coleman,"Cresskill, Bergen County"
JohnMLoughneyAtlanticCity,1,John M Loughney,"Atlantic City, Atlantic County"
JohnMNewellMontvale,1,John M Newell,"Montvale, Bergen County"
JohnMoncatoLittleFalls,1,John Moncato,"Little Falls, Passaic County"
RaymondDGiordanoGlassboro,1,Raymond D Giordano,"Glassboro, Gloucester County"
ChristineAArmitage-CookerHamilton,1,Christine A Armitage-Cooker,"Hamilton, Atlantic County"
AnthonyMarinoCapeMay,1,Anthony Marino,"Cape May, Cape May County"
RaymondFosterWestCaldwell,1,Raymond Foster,"West Caldwell, Essex County"
RaymondGilbertPennsauken,1,Raymond Gilbert,"Pennsauken, Camden County"
RaymondGILLEGIBLEBayonne,1,Raymond G ILLEGIBLE,"Bayonne, Hudson County"
RaymondGizienskiBernards,1,Raymond Gizienski,"Bernards, Somerset County"
JohnMoroneyNewMilford,1,John Moroney,"New Milford, Bergen County"
RaymondILLEGIBLEPaterson,1,Raymond ILLEGIBLE,"Paterson, Passaic County"
RaymondJGulbinMontclair,1,Raymond J Gulbin,"Montclair, Essex County"
RaymondJMahanJerseyCity,1,Raymond J Mahan,"Jersey City, Hudson County"
ChristineCollinsHoboken,1,Christine Collins,"Hoboken, Hudson County"
RaymondJShawCinnaminson,1,Raymond J Shaw,"Cinnaminson, Burlington County"
EdwardEStilwellSeaGirt,1,Edward E Stilwell,"Sea Girt, Monmouth County"
RaymondJWeberJerseyCity,1,Raymond J Weber,"Jersey City, Hudson County"
JohnMPernaMaplewood,1,John M Perna,"Maplewood, Essex County"
RaymondLILLEGIBLEJerseyCity,1,Raymond L ILLEGIBLE,"Jersey City, Hudson County"
BLANKMcLaughlinVineland,1,BLANK McLaughlin,"Vineland, Cumberland County"
RaymondLSippelPennsauken,1,Raymond L Sippel,"Pennsauken, Camden County"
JohnMRicciGloucester,1,John M Ricci,"Gloucester, Camden County"
JohnMSgroPineBeach,1,John M Sgro,"Pine Beach, Ocean County"
RaymondMaloneyTomsRiver,1,Raymond Maloney,"Toms River, Ocean County"
JohnMurphyTrenton,1,John Murphy,"Trenton, Mercer County"
RaymondMcCarthySouthBrunswick,1,Raymond McCarthy,"South Brunswick, Middlesex County"
AlbernJean-SimonIrvington,1,Albern Jean-Simon,"Irvington, Essex County"
JohnMWisnofskyDeptford,1,John M Wisnofsky,"Deptford, Gloucester County"
RaymondMKwiatkowskiSpringLakeHeights,1,Raymond M Kwiatkowski,"Spring Lake Heights, Monmouth County"
JohnNahrwoldBrick,1,John Nahrwold,"Brick, Ocean County"
BLANKMcVeighMedford,1,BLANK McVeigh,"Medford, Burlington County"
ChristineRoseboroCollingswood,1,Christine Roseboro,"Collingswood, Camden County"
ChristineScarpatoNorthBergen,1,Christine Scarpato,"North Bergen, Hudson County"
ChristineTowneCherryHill,1,Christine Towne,"Cherry Hill, Camden County"
ChristoherLLoDicoAtlanticCity,1,Christoher L LoDico,"Atlantic City, Atlantic County"
RaymondPuluseFairfield,1,Raymond Puluse,"Fairfield, Essex County"
BLANKMegaraBeverly,1,BLANK Megara,"Beverly, Burlington County"
EdwardGSchroederWanaque,1,Edward G Schroeder,"Wanaque, Passaic County"
EdwardGSmithBarnegat,1,Edward G Smith,"Barnegat, Ocean County"
RaymondSchlaierLongHill,1,Raymond Schlaier,"Long Hill, Morris County"
EdwardGStilwellSeaGirt,1,Edward G Stilwell,"Sea Girt, Monmouth County"
RaymondSILLEGIBLENewBrunswick,1,Raymond S ILLEGIBLE,"New Brunswick, Middlesex County"
RaymondSKeoghanJerseyCity,1,Raymond S Keoghan,"Jersey City, Hudson County"
EdwardGTylerMansfield,1,Edward G Tyler,"Mansfield, Burlington County"
JohnnyAndinoBelleville,1,Johnny Andino,"Belleville, Essex County"
JohnnyArrarteElizabeth,1,Johnny Arrarte,"Elizabeth, Union County"
JohnnyECoeTrenton,1,Johnny E Coe,"Trenton, Mercer County"
EdwardHCarterEastOrange,1,Edward H Carter,"East Orange, Essex County"
RaymondTullingLittleFalls,1,Raymond Tulling,"Little Falls, Passaic County"
RaymondVelezNewark,1,Raymond Velez,"Newark, Essex County"
ChristopheECruseAtlanticCity,1,Christophe E Cruse,"Atlantic City, Atlantic County"
JohnnyILLEGIBLENewark,1,Johnny ILLEGIBLE,"Newark, Essex County"
BLANKMegaroDenville,1,BLANK Megaro,"Denville, Morris County"
EdwardHRoffVerona,1,Edward H Roff,"Verona, Essex County"
RayOjedaNewark,1,Ray Ojeda,"Newark, Essex County"
RayPowanda-CarvalhoSeasideHeights,1,Ray Powanda-Carvalho,"Seaside Heights, Ocean County"
EdwardILLEGIBLEBayonne,1,Edward ILLEGIBLE,"Bayonne, Hudson County"
RayWGiffordMonroe,1,Ray W Gifford,"Monroe, Middlesex County"
EdwardILLEGIBLETrenton,1,Edward ILLEGIBLE,"Trenton, Mercer County"
RazohnEureNewark,1,Razohn Eure,"Newark, Essex County"
RBauerGalloway,1,R Bauer,"Galloway, Atlantic County"
RBeltranNJSP,1,R Beltran,"NJSP, State Police"
ChristopherABeachVoorhees,1,Christopher A Beach,"Voorhees, Camden County"
RBeyerleTomsRiver,1,R Beyerle,"Toms River, Ocean County"
RBrettellBordentownTown,1,R Brettell,"Bordentown Town, Burlington County"
RBroomallBridgetonCity,1,R Broomall,"Bridgeton City, Cumberland County"
JohnOmeliaTomsRiver,1,John Omelia,"Toms River, Ocean County"
RCabreraNewark,1,R Cabrera,"Newark, Essex County"
BLANKMelendezNewark,1,BLANK Melendez,"Newark, Essex County"
RCandelanaNewark,1,R Candelana,"Newark, Essex County"
RCantoniNJSP,1,R Cantoni,"NJSP, State Police"
JohnPalardyWestOrange,1,John Palardy,"West Orange, Essex County"
RCBownessNJSP,1,R C Bowness,"NJSP, State Police"
RCCostelloNJSP,1,R C Costello,"NJSP, State Police"
RChristopherRivellBurlingtonCIty,1,R Christopher Rivell,"Burlington City, Burlington County"
JohnPanarelloHammonton,1,John Panarello,"Hammonton, Atlantic County"
RCMcGoortyNJSP,1,R C McGoorty,"NJSP, State Police"
BLANKMendezNorthBergen,1,BLANK Mendez,"North Bergen, Hudson County"
JohnPatrickSpringfield,1,John Patrick,"Springfield, Union County"
RDAntuneseNJSP,1,R D Antunese,"NJSP, State Police"
RDDigerolamoNJSP,1,R D Digerolamo,"NJSP, State Police"
Adam SBergerNewark,1,Adam S Berger,"Newark, Essex County"
RDelValleUniontownship,1,R Del Valle,"Union township, Union County"
RDHigbeeNJSP,1,R D Higbee,"NJSP, State Police"
EdwardJClarkBloomfield,1,Edward J Clark,"Bloomfield, Essex County"
RDiGerolamoNJSP,1,R DiGerolamo,"NJSP, State Police"
RDonatoFreehold,1,R Donato,"Freehold, Monmouth County"
EdwardJClarkMerchantville,1,Edward J Clark,"Merchantville, Camden County"
RDuffyPaterson,1,R Duffy,"Paterson, Passaic County"
RDWronskiNJSP,1,R D Wronski,"NJSP, State Police"
RebeccaASayeghTomsRiver,1,Rebecca A Sayegh,"Toms River, Ocean County"
JohnPDeckerJackson,1,John P Decker,"Jackson, Ocean County"
ChristopherAHarrisonJerseyCity,1,Christopher A Harrison,"Jersey City, Hudson County"
EdwardJDevineHamilton,1,Edward J Devine,"Hamilton, Mercer County"
RebeccaSayeghSeasideHeights,1,Rebecca Sayegh,"Seaside Heights, Ocean County"
EdwardJEganFairlawn,1,Edward J Egan,"Fairlawn, Bergen County"
ChristopherAHerediaOldBridge,1,Christopher A Heredia,"Old Bridge, Middlesex County"
BLANKMiccinilliPaterson,1,BLANK Miccinilli,"Paterson, Passaic County"
JohnPGreenOceanTownship,1,John P Green,"Ocean Township, Monmouth County"
REDACTEDREDACTEDCamden,1,REDACTED REDACTED,"Camden, Camden County"
REDACTEDREDACTEDGalloway,1,REDACTED REDACTED,"Galloway, Atlantic County"
JohnPHallPemberton,1,John P Hall,"Pemberton, Burlington County"
REDACTEDREDACTEDHamilton,1,REDACTED REDACTED,"Hamilton, Atlantic County"
REDACTEDREDACTEDWashington,1,REDACTED REDACTED,"Washington, Gloucester County"
REDACTEDWatsonNewark,1,REDACTED Watson,"Newark, Essex County"
ReeseRileyLivingston,1,Reese Riley,"Livingston, Essex County"
ReggieDaltonLakewood,1,Reggie Dalton,"Lakewood, Ocean County"
JohnPhelanPaterson,1,John Phelan,"Paterson, Passaic County"
ReginaldCGorleMountArlington,1,Reginald C Gorle,"Mount Arlington, Morris County"
JohnPHennessyWanaque,1,John P Hennessy,"Wanaque, Passaic County"
ReginaldDGrantManalapan,1,Reginald D Grant,"Manalapan, Monmouth County"
JohnPierottiFairview,1,John Pierotti,"Fairview, Bergen County"
JohnPILLEGIBLEHillside,1,John P ILLEGIBLE,"Hillside, Union County"
JohnPMcClaveHillside,1,John P McClave,"Hillside, Union County"
ReinaldoArochoNewark,1,Reinaldo Arocho,"Newark, Essex County"
EdwardJILLEGIBLEWoodbridge,1,Edward J ILLEGIBLE,"Woodbridge, Middlesex County"
BLANKMickleBeverly,1,BLANK Mickle,"Beverly, Burlington County"
ReinaldoGonzalezElizabeth,1,Reinaldo Gonzalez,"Elizabeth, Union County"
JohnPMoranoPointPleasantBeach,1,John P Morano,"Point Pleasant Beach, Ocean County"
RemonSolimanEggHarborCity,1,Remon Soliman,"Egg Harbor City, Atlantic County"
EdwardJListerWall,1,Edward J Lister,"Wall, Monmouth County"
JohnPRetsisNJSP,1,John P Retsis,"NJSP, State Police"
ReneCaideronNewark,1,Rene Caideron,"Newark, Essex County"
JohnPrudhommeLakehurst,1,John Prudhomme,"Lakehurst, Ocean County"
BLANKMigdonHowell,1,BLANK Migdon,"Howell, Monmouth County"
ChristopherALocklearMontclair,1,Christopher A Locklear,"Montclair, Essex County"
ReneeMaupaiMahwah,1,Renee Maupai,"Mahwah, Bergen County"
AnthonyMarraUniontownship,1,Anthony Marra,"Union township, Union County"
JohnPuljanowskiSouthPlainfield,1,John Puljanowski,"South Plainfield, Middlesex County"
ReneSaldarriagaWeehawken,1,Rene Saldarriaga,"Weehawken, Hudson County"
EdwardJRaithMaplewood,1,Edward J Raith,"Maplewood, Essex County"
BLANKMilesTrenton,1,BLANK Miles,"Trenton, Mercer County"
RenzoATrapaniNewMilford,1,Renzo A Trapani,"New Milford, Bergen County"
ReshalJonesNewark,1,Reshal Jones,"Newark, Essex County"
ChristopherAndersonTomsRiver,1,Christopher Anderson,"Toms River, Ocean County"
EdwardJSkillmanWestAmwell,1,Edward J Skillman,"West Amwell, Hunterdon County"
RevinaTManchisiJerseyCity,1,Revina T Manchisi,"Jersey City, Hudson County"
JohnReaderBrooklawn,1,John Reader,"Brooklawn, Camden County"
EdwardJunquetMonmouthBeach,1,Edward Junquet,"Monmouth Beach, Monmouth County"
JohnRedlingScotchPlains,1,John Redling,"Scotch Plains, Union County"
JohnReedTuckerton,1,John Reed,"Tuckerton, Ocean County"
JohnRemianBernardsville,1,John Remian,"Bernardsville, Somerset County"
BLANKMillerHamilton,1,BLANK Miller,"Hamilton, Atlantic County"
EdwardKazmierczakTeaneck,1,Edward Kazmierczak,"Teaneck, Bergen County"
JohnRGouveiaKearny,1,John R Gouveia,"Kearny, Hudson County"
JohnRGradyWestville,1,John R Grady,"Westville, Gloucester County"
RFelicianoNewark,1,R Feliciano,"Newark, Essex County"
JohnRheinNutley,1,John Rhein,"Nutley, Essex County"
ChristopherANittiRobbinsville,1,Christopher A Nitti,"Robbinsville, Mercer County"
RGoehringerRGalloway,1,R Goehringer R,"Galloway, Atlantic County"
JohnRicciBridgewater,1,John Ricci,"Bridgewater, Somerset County"
RHagermanNeptuneTownship,1,R Hagerman,"Neptune Township, Monmouth County"
RHalvorsonAtlanticCity,1,R Halvorson,"Atlantic City, Atlantic County"
JohnRILLEGIBLEHowell,1,John R ILLEGIBLE,"Howell, Monmouth County"
RhannonFallenPemberton,1,Rhannon Fallen,"Pemberton, Burlington County"
RHCastroNJSP,1,R H Castro,"NJSP, State Police"
AdamHamptonHillsdale,1,Adam Hampton,"Hillsdale, Bergen County"
JohnRLobertoCamden,1,John R Loberto,"Camden, Camden County"
BLANKMillerSomerville,1,BLANK Miller,"Somerville, Somerset County"
RhiannonETrateNorthWildwood,1,Rhiannon E Trate,"North Wildwood, Cape May County"
EdwardLaGrecaBerkeley,1,Edward LaGreca,"Berkeley, Ocean County"
JohnRMisciaMadison,1,John R Miscia,"Madison, Morris County"
RHSicklesNJSP,1,R H Sickles,"NJSP, State Police"
RHTorresNJSP,1,R H Torres,"NJSP, State Police"
RHTrainorNJSP,1,R H Trainor,"NJSP, State Police"
AndrewMarmoratoLyndhurst,1,Andrew Marmorato,"Lyndhurst, Bergen County"
RicaardoPBerrouetCamden,1,Ricaardo P Berrouet,"Camden, Camden County"
RicahrdAGallardoJerseyCity,1,Ricahrd A Gallardo,"Jersey City, Hudson County"
ChristopherAurianoGreenBrook,1,Christopher Auriano,"Green Brook, Somerset County"
JohnRobertsLongHill,1,John Roberts,"Long Hill, Morris County"
JohnRodriguezMahwah,1,John Rodriguez,"Mahwah, Bergen County"
JohnRodriguezPassaic,1,John Rodriguez,"Passaic, Passaic County"
ChristopherAVallarRaritan,1,Christopher A Vallar,"Raritan, Hunterdon County"
JohnRoseNeptuneCity,1,John Rose,"Neptune City, Monmouth County"
EdwardLKunderStafford,1,Edward L Kunder,"Stafford, Ocean County"
RicardoFelicianoNewark,1,Ricardo Feliciano,"Newark, Essex County"
BLANKMiloneSeasideHeights,1,BLANK Milone,"Seaside Heights, Ocean County"
AnthonyMBurgosFairlawn,1,Anthony M Burgos,"Fairlawn, Bergen County"
AlexPopenPaterson,1,Alex Popen,"Paterson, Passaic County"
RicardoJohnsonWestfield,1,Ricardo Johnson,"Westfield, Union County"
BLANKMorganNewark,1,BLANK Morgan,"Newark, Essex County"
RicardoMacrinaNewark,1,Ricardo Macrina,"Newark, Essex County"
ChristopherBattiloroWestfield,1,Christopher Battiloro,"Westfield, Union County"
EdwardMGorskiWildwoodCrest,1,Edward M Gorski,"Wildwood Crest, Cape May County"
JohnRyan-MeyerTeaneck,1,John Ryan-Meyer,"Teaneck, Bergen County"
RicardoPrattNewark,1,Ricardo Pratt,"Newark, Essex County"
JohnRYarnellBridgewater,1,John R Yarnell,"Bridgewater, Somerset County"
BLANKMorganPaterson,1,BLANK Morgan,"Paterson, Passaic County"
BLANKMorrisBridgetonCity,1,BLANK Morris,"Bridgeton City, Cumberland County"
BLANKMurphyHowell,1,BLANK Murphy,"Howell, Monmouth County"
RicardoRodriguesLodi,1,Ricardo Rodrigues,"Lodi, Bergen County"
ChristopherBeharWestOrange,1,Christopher Behar,"West Orange, Essex County"
JohnSBurgerHaddonfield,1,John S Burger,"Haddonfield, Camden County"
RicardoSookhuEwing,1,Ricardo Sookhu,"Ewing, Mercer County"
JohnScanlanNorthHaledon,1,John Scanlan,"North Haledon, Passaic County"
RicarMaceiraNewark,1,Ricar Maceira,"Newark, Essex County"
RiccardoPBerrouetCamden,1,Riccardo P Berrouet,"Camden, Camden County"
RichardAAdrianzenOrange,1,Richard A Adrianzen,"Orange, Essex County"
JohnSchwedhelmLittleFerry,1,John Schwedhelm,"Little Ferry, Bergen County"
JohnScordatoHillsdale,1,John Scordato,"Hillsdale, Bergen County"
